date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:40:45	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-5c29576766c08caa;gz%22	https://demo.exptheme.com/robots.txt		(from )
15:40:46	82841/82841	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Nov%202025%2008:40:47%20GMT	https://demo.exptheme.com/pizzeria/	D:/GIT/frontend/ui_pizza_vip/pizza/demo.exptheme.com/pizzeria/index.html	(from )
15:40:48	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2001%20Nov%202025%2008:40:48%20GMT	https://demo.exptheme.com/pizzeria/xmlrpc.php	D:/GIT/frontend/ui_pizza_vip/pizza/demo.exptheme.com/pizzeria/xmlrpc.php	(from https://demo.exptheme.com/pizzeria/)
15:40:49	4933/4933	---M-Z	200	added ('OK')	text/css	etag:%221345-62afd29e-30293f46c9fea66;gz%22	https://demo.exptheme.com/pizzeria/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=7.6.0	D:/GIT/frontend/ui_pizza_vip/pizza/demo.exptheme.com/pizzeria/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style7ef2.css	(from https://demo.exptheme.com/pizzeria/)
15:40:49	18053/18053	---MCZ	200	added ('OK')	application/rss+xml	etag:%222f825be64e5741b149937d5cfe87db47%22	https://demo.exptheme.com/pizzeria/feed/	D:/GIT/frontend/ui_pizza_vip/pizza/demo.exptheme.com/pizzeria/feed/index.html	(from https://demo.exptheme.com/pizzeria/)
15:40:50	5020/5020	---M-Z	200	added ('OK')	application/rss+xml	etag:%2289866c2eccb3719e56d11b08397c30f8%22	https://demo.exptheme.com/pizzeria/comments/feed/	D:/GIT/frontend/ui_pizza_vip/pizza/demo.exptheme.com/pizzeria/comments/feed/index.html	(from https://demo.exptheme.com/pizzeria/)
15:40:50	211622/211622	---M-Z	200	added ('OK')	text/css	etag:%2233aa6-62afd29e-516cee7aa2062a4b;gz%22	https://demo.exptheme.com/pizzeria/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=7.6.0	D:/GIT/frontend/ui_pizza_vip/pizza/demo.exptheme.com/pizzeria/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style7ef2.css	(from https://demo.exptheme.com/pizzeria/)
15:40:51	590/590	---M-Z	200	added ('OK')	text/css	etag:%2224e-60517cd4-d04bae4b4aef2d91;gz%22	https://demo.exptheme.com/pizzeria/wp-content/plugins/cmssuperheroes/assets/css/cms-style.css?ver=6.8.3	D:/GIT/frontend/ui_pizza_vip/pizza/demo.exptheme.com/pizzeria/wp-content/plugins/cmssuperheroes/assets/css/cms-style32d4.css	(from https://demo.exptheme.com/pizzeria/)
15:40:52	2731/2731	---M-Z	200	added ('OK')	text/css	etag:%22aab-62afd290-6c5c146a9e822f15;gz%22	https://demo.exptheme.com/pizzeria/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6	D:/GIT/frontend/ui_pizza_vip/pizza/demo.exptheme.com/pizzeria/wp-content/plugins/contact-form-7/includes/css/styles40df.css	(from https://demo.exptheme.com/pizzeria/)
15:40:53	17809/17809	---M-Z	200	added ('OK')	text/css	etag:%224591-62afd2a0-a63bc9c75d36d730;gz%22	https://demo.exptheme.com/pizzeria/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=6.6.0	D:/GIT/frontend/ui_pizza_vip/pizza/demo.exptheme.com/pizzeria/wp-content/plugins/woocommerce/assets/css/woocommerce-layout31dc.css	(from https://demo.exptheme.com/pizzeria/)
